0,1,2,3,4,5,6,7,8,9,10
13,"A month is longer than a day.","Am I the only one who sees this as someone sticking their ass in the air &quot;mooning&quot; someone (two cheeks of the butt and the legs coming off of it)? The Moon meaning connects well to the meaning of month</strong>, considering that<strong> months were traditionally measured by the phases of the moon. Also, the mooning &quot;ass&quot; part of it connects well to Hesig&#039;s seemingly unconnected &quot;flesh&quot; or &quot;part of the body&quot; meaning (when used in primitive form).","Month - every MOON cycle, werewolves eat FLESH, and other PARTs OF THE BODY.","Once a month, the moon is full.","A month is a movement (legs</em>) of <em>days.","A day grows swiftly into a MONTH as if sprouting legs.","Every MONTH the MOON completes its cycle from new to full. ｛ゲツ、ガツ、つき｝月（つき)moon, 月曜日（ゲツヨウび）Monday, 一月（イチガツ）January.","A month is longer than a day.","Theres a full Moon every Month.","You GATSU to shave your legs every day for a month. That TSUKI. Reading: ゲツ; ガツ; つき January: 一月= いちがつ."
14,"A rice field divided into four parts.","Ten</em> people use their <em>mouths to eat the yield of the rice fields.","Ten</em> rice fields can feed many <em>mouths.","A farmer must use his brain to measure out a 4-plot rice field.","Rice fields are split in four sections--one for each season!","One day the farmer is neatly digging his rice field</strong> chopping down with his spade in two directions at 90 degrees, when suddenly there is a crunching sound as he has chopped twice into the skull of a dead body exposing the <strong>brains sliced into four pieces. Ughhh !","A person&#039;s brains and a rice field are alike. If they are nourished, both will flourish.","Rice fields feed many mouths.","A rice field can feed 10</em> <em>mouths.","Ｒｉｃｅ　ｆｉｅｌｄ　＝　た ｅｘ： 田中ーさん　=　ｔａｎａｋａ－ｓａｎ."
15,"目_目.","There are 3 sections. Imagine the outer two being the whites of your eye. The middle is the pupil. Fill it in with imaginary color.","This one comes from an ancient character that was an eye</strong>. It is an<strong> eye</strong> rotated in 90 degree but got squared (think about anime style<strong> eyes).","目_目.","(目 ‿‿ 目).","Look at those tears in eye</strong>s. You <strong>moku me cry! .·目_目·.","This is an EYE</strong> with two<strong> eyelids and no pupil.","(目_目).","An eye</strong> with two<strong> eye</strong>lids and the<strong> eyeball in the middle.","Don&#039;t MOKU ME climb up there and punch you in the eye and three times in the mouth."
16,"Tombstone and cross on an old man&#039;s grave.","You get OLD fast if you have ten open mouths to feed.","Old people tend to talk a lot. Almost as if they had TEN MOUTHS!","The old man had only 10</em> teeth in his <em>mouth.","A story is OLD when it has been told by TEN MOUTHs.","After hearing it from ten mouths, a story gets old.","A cross on top of a tombstone --- old on: コ　( ko ) kun: ふる,　ふる。す (furu-i, furu.su).","As old</strong> as a story that has been told by the mouths</em> of <em>ten different generations. (you can see this kanji as an<strong> old tombstone, but don&#039;t associate it to an aged person).","Ten voices (mouths) prayed at the old grave.","A story told 10 十 times by the same mouth 口 gets old."
17,"I have 5 senses.","I eat five times at day.","I consist of five</em> senses to observe, one <em>mouth</em> to speak. <em>For order, remember that observing through the senses should be done before using one&#039;s mouth.","I have two eyes, nose, two ears = 5 plus one mouth.","I can fit all five of my fingers in my mouth! :D.","Descartes said, &quot;I think; therefore, I am,&quot; but this kanji implies, &quot;I sense; therefore, I am.&quot; 5</em> <em>openings symbolize the 5 senses.","I perceive the world through a window</em> (口) of <em>five (五) senses.","Panch dhatu pasun banloy Me (I) Panch Indriya pasun banlela mi It Actually means Panch Dhatu(Sanskrit) means....Five Minerals which i am made of. (avoid if complicate to understand).","I have 5 openings in the head, the lower one being the mouth.","Luckily I don&#039;t have FIVE MOUTHS!"
18,"Don&#039;t look at the sun directly with your eyes, it&#039;s risky!","You&#039;ll risk your eyesight if you look up at the sun.","Looking up at the big sun is a risk</strong> to your eye. To remember that the sun primitive is bigger than the eye primitive, imagine making your eyes little (squinting) when you go out in the bright sun to reduce the<strong> risk</strong> of getting sun blindness. READING: imagine a kid saying &quot;oh that&#039;s ぼう (bull as in B.S.), looking at the sun is no<strong> risk!&quot; [he&#039;s blind now].","Staring into the big sun</em> can risk</strong> your <em>eyesight! HINT: It looks like a pipe from Super Mario Bros. It might be<strong> risky to go down it. :p.","Look up at the SUN, and you&#039;ll risk your EYES, so be careful. おかす　冒す /　ぼうけん　冒険 adventure.","If you look at the sun</em> high in the sky directly with your <em>eyes below, you&#039;re taking a big risk.","It is risky to look at the sun with your eyes.","[ risk</strong> = sun</em> / <em>eye</em> ] - it is <strong>risky to stare at the <em>sun</em> with unprotected <em>eyes.","Sun</em> directly into the <em>eye is risky!","looking</em> up at the <em>sun is a risk."
19,"My companion and I are like two moons side by side.","One moon is lonely. Two moons are companions.","Under the twin moons of Tatooine, Luke had no COMPANION.","Companion = flesh of my flesh.","Two bodies next to each other; companions.","Real companions stay together during dark times, under many MOONS, or many MONTHS...","Month to Month my companion is by my side.","MONTH by MONTH, I grow closer to my COMPANION.","Sailor Moon and her cat Luna are companions.","From MONTH to MONTH, my COMPANION is always there."
20,"The sun makes the moon bright.","The sun and the moon are brightest objects in the day and night, respectively.","In the long run, the REAL trouble here is distinguishing it from &quot;shining&quot;/&quot;sparkle&quot;. Choose a story to learn how to write 明. To distinguish it, remember the Japanese word 明日 (ashita, &quot;tomorrow&quot;) and think of Orphan Annie singing &quot;Tomorrow is a brighter day&quot;.","The SUN is BRIGHTER than the MOON.","The two bright</strong>est things in the sky: the sun</em> and the <em>moon</em>. <em>For order, remember that the sun is the<strong> brighter of the two, and should be written first.","About the order of the primitives: The phrase that I usually hear is &quot;the sun and moon,&quot; so to help me remember the order, I&#039;ll remember that phrase. Oh! Better yet, I&#039;ll put them in order of brightness.","Every day of the month is bright.","The SUN and MOON are what keep the sky BRIGHT.","The sun is BRIGHTer than the moon, though the moon appears larger in the sky.","The sun</em> shining <em>right</em> into the <em>moon looks bright."
21,"Someone chanting with their mouth open for two consecutive days.","Chants from our mouths are meant to reach the sun and the stars. Stars are just suns just further away so they seem smaller.","His mouth</em> chants always when <em>prosperous.","The monk opened his month and chanted for two days.","A yogi opens his mouth</em> and chants for <em>two straight days! [So, did you reach nirvana? &quot;Nah, got a wicked sore throat, though.&quot;].","My Zen Buddhist friend used to light a candle, open her mouth</em> and chant for <em>prosperity</em> (<em>day</em> after <em>day).","I opened my mouth wide and chanted for 2 days.","Your <a href="/study/kanji/0.000000E+0050.0000000X0P+03">口</a> (<span class="frnr">#11</span>) will hurt if, day after <a href="/study/kanji/0.000000E+006"Chanting the same prayer day</em> on <em>day　ショウ　唱（とな）える　.","合唱<a href="/study/kanji/0.000000E+00522,"A diamond sparkles as brightly as three suns.","Sparkle is a <a href="/study/kanji/0.000000E+0060X0P+030X0P+0E">森</a> (<span class="frnr">#209</span>) of suns!","Nothing sparkles like 3 suns!","Sparkle, three suns sparkling like zelda pyramids ;-).","Wow - Has been ages since I got this character up in a review, I failed it because I thought of a different kanji. Anyway this Kanji has a lot to do with crystals and crystal structure 液晶liquid crystal, 結晶 crystal, crystallization, crystallisation, 結晶学 crystallography. So the connotation of &#039;diamond&#039; is really good - maintain that and it will easily let you fall back to its main usage of crystals.","Three suns sparkle like Zelda&#039;s Triforce.","The sun sparkled for 3 days...1 液晶　えきしょう (n) liquid crystal 2 結晶　けっしょう (n,vs) crystal; crystallization; crystallisation 3 水晶　すいしょう (n) crystal.","Three suns sparkle brilliantly.","A CRYSTAL</strong> can<strong> SPARKLE as brightly as three suns.","A diamond can sparkle as brightly as three suns."
23,"Three boxes</em> of goods are devoured by the hungry <em>mouths of waiting consumers.","Three hungry mouths waiting for the goods to come.","Boxes of goods stacked on top of the other.","Three stacked crates of mouth-watering GOODS, ready for delivery to the restaurant.","しな。ひん。 A lot of mouths opened desperate for goods.","Three MOUTHs talk about these three boxes of GOODS : the producer’s, the supplier’s and the customer’s.","&quot;Three floating mouths ate all my goods!&quot;","Hin: 食料品 【しょくりょうひん】Groceries Shina: 品物 【しなもの】 goods</strong>, article, thing; Sheena and Hina-chan buy a lot of<strong> goods.","The three burglars stood staring, mouths wide, at the huge pile of loot. Look at all those GOODS!","Give me a HINt why SHINA needs three boxes of goods."
24,"Spine connects head and body.","The spine goes from one opening mouth/opening (mouth/face) to another mouth/opening (genitals). Just think of these openings being enlarged to represent the head and the body. The bottom is bigger because the body is bigger than the face.","The spine goes from one opening mouth/opening (mouth/face) to another mouth/opening (in your ass).","I looks like two vertebrae connected by nerve threads.","In &quot;The Human Centipede&quot;, one spine connects two mouths to keep the food circulating.","Looks like two vertebrae linked together. Continue this pattern, and you&#039;ve got a spine.","The SPINE CONNECTS the Opening</em> at the top to the <em>Opening below.","&quot;Two&quot; much mouth, not enough SPINE. 風呂　ふろ(Japanese bath).","Looks like a head and a body attached by a spinal cord.","The two &quot;openings&quot; in your body (mouth, bottom) are connected by your spine!"
25,"If you work from Sun UP to Sun DOWN you will be prosperous.","I kept getting this mixed up with meanings like &#039;fortune&#039;, so here is a fool proof story! Remember the Vulcan salute from &#039;Star Trek&#039; (a fiction of the sci-fi genre in which heavenly bodies such as SUNS play a huge role) used with the phrase &#039;live long and PROSPER&#039;? If that&#039;s not enough of a visual reminder, the Vulcan salute shows the fingers parted in to 2 sets of 2, and visually kind of looks like this kanji if you think about it.","When you are prosperous, your gold shines as brightly as two suns.","The Egyptians were prosperous because every two days, they worshiped the sun god at the sun pyramid. (Thanks for the idea adhmm, for a while I have had trouble remembering which sun is biggest. Got it now!)","If you work from sun up</em> to <em>sun down you will be prosperous.","Two sunny days make farmers prosperous.","When you become prosperous, your days are twice as sunny.","Two suns are prosperous indeed. The one which is closer to us (i.e. lower) appears larger.","The double suns of Tatooine made George Lucas very PROSPEROUS.","Hopefully the second day</em> will be more prosperous than the <em>first one(second day is bigger)."
26,"The sun</em> up is early, well before <em>ten.","EARLY, is when you have to start your day</em> before <em>10..","An early sun-flower looks like a miniature sun perched on a needlelike stems.","The sun</em> rises early - before <em>ten.","Sun flower blossom early.","If I woke up early, I&#039;d look like this.","Early morning Sunflower.","A sunflower is the EARLY riser in the garden before <a href="/study/kanji/0.000000E+005"Presto</strong>, <strong>veloce</strong> : Pensare al Kanji come alla rappresentazione di un girasole (il fiore del sole) che si alza al mattino presto per seguire il sole nel suo percorso durante tutto il giorno. <strong>Primitive</strong> : Girasole. <strong>Composizione</strong> : <a href="/study/kanji/0.000000E+006"Early sunflower</em> basks in the <em>needles of sunlight."
27,"9am carries with it the rising sun.","Nine planets revolve around our rising sun.","The sun rises before 9am.","When the clock says 9</em> on the left, you can see the rising <em>sun in the east (right).","A baseball player hits the sun and it becomes the rising sun.","To me, the left-hand element (nine) resembles the side view of the front of a forklift truck. The second stroke forms the forks. Thus the sun</strong> is <strong>rising on the forks.","At 9</em> am the <em>sun rises.","Nine days, nine baseball players, in the land of the rising sun, where baseball reigns supreme!","In order to have a rising sun, it takes a total of nine gods to give it a swift kick in the butt.","If 10am is considered early (早) then I guess 9am is when the sun is just rising."
28,"3 tens = generation.","They SAY</strong> a<strong> generation</strong> is ten</em>+<em>ten</em>+<em>ten</em> years, with the big first <em>ten</em> providing a <em>grounding</em>, and the next <em>ten</em> providing a little more <em>grounding</em> for the final <em>ten. But I wish the next<strong> generation</strong> didn&#039;t always <strong>SAY</strong> &quot;<strong>yo!&quot;. (ON reading is SEI, KUN reading is yo).","That swing has been in that tree for generations.","This looks like a picture of a test tube in a holder. Maybe it will be used to create test tube babies for a future generation.","The next generation is carried by the previous ones.","Mother with 2 kids sitting in her lap.","よ</strong>---In the present<strong> GENERATION, babies may be produced from TEST TUBES. remember the stand holder at the bottom!!","Test tube GENERATION.","Ten years is a decade; 3 decades is a generation.","Three tens EQUAL (hence the two horizontal lines on the bottom, think equals sign) thirty: a generation."
29,"The rice field</em> is harvested once a <em>month to get food for our stomach.","The stomach is the part of the body that digests food (which, in Japan, is mainly rice).","The stomach is the part of the body (月）that tells my brain (田) when to eat rice.","A field of rice could fill my stomach for over a month.","The astronaut had an empty stomach</em> because you can&#039;t grow rice</strong> <em>on the <strong>moon.","Zombies want my brain in their stomach.","A rice field feeds my STOMACH for a month.","The lower radical that looks like the moon (月) is actually an abbreviation of 肉 (niku, meat) in words that describe body parts. The radical is actually called にくづき. / The rice that you grow on your rice field</em> will end up in this <em>body part, the stomach.","Remember Krang from Teenage Mutant Ninja Turtles and that flesh</em>-colored weird robot that was carrying the evil <em>brain around in its stomach?","What part of the body (月) does rice (田) go to? The stomach."
30,"A nightbreak happens when the sun rises over the horizon (floor).","It may be easier to think of the keyword &quot;DAYBREAK&quot; or &quot;MORNING&quot; for this kanji (other kanji dictionaries do). Then the mnemonic phrase &quot;SUN rising over the HORIZON&quot; works better. It is an infrequent kanji, but can be found in: 旦夕　（たんせき） morning and evening, or 元旦　（がんたん） New Year&#039;s Day.","The sun rising over the horizon is giving the night</strong> a <strong>break</strong>. -<strong>nightbreak.","HINT: You can substitute sunrise in your stories if you don&#039;t like the rare (and ambiguous) &quot;nightbreak&quot;. Note that <a href="/study/kanji/0.000000E+006   0X0P+0"Nightbreaks when the sun</em> peeks over the <em>horizon at dawn.","Since nightbreak</strong> is a word I can never manage to use in a natural sounding sentence, and since this is clearly a picture of the sun coming up over the horizon, I call this one <strong>sunrise</strong>. It&#039;s no more confusing than<strong> nightbreak is with Daybreak 1201 and Dawn 2448, and it&#039;s a lot easier to make stories with.","In Japan, when the sun</em> comes up over the <em>horizon, it&#039;s called NIGHTBREAK (not daybreak).","I change this kanji&#039;s keyword to daybreak so that it actually means in English what it means in Japanese. The reason Heisig didn&#039;t choose daybreak for this kanji is because he already has daybreak chosen for 暁. I just change that one to dawn because they mean basically the same thing, and the image of a sun slowly coming up over the horizon is a clearer image of daybreak to me.","旦那, 元旦, <a href="/study/kanji/0.000000E+006"night breaks as the sun rises over the horizon."
31,"The moon has a lot of gall sticking around after sunrise.","All the month</em> long I have to start working at <em>nightbreak. This really activates my gall bladder (=I get angry).","For a month（月）, I was up until nightbreak（旦） because of my gall bladder（胆）.","The gall bladder digests the flesh (meat) before nightbreak so you are ready to start your new day.","The gall bladder is the part of the body</em> that secretes bile, mostly after <em>night break, to help digest fat eaten during dinner.","If you drink all night long (moon), until the night break your gall bladder will have problems...","You&#039;ve got some gall calling around here every month after night break!","According to the chinese medicine the gall bladder comes to its activity between 23h and 01h, so it is between night (when moon cames) and nightbreak.","Ah, the GALL BLADDER</strong>. Heisig certainly has <strong>gall putting it this early in his book! Wikipedia says it&#039;s the part of the body</em> which stores gall until you need it to digest fatty foods; say, at <em>nightbreak (ah, that fatty full English breakfast!)","To remember gall bladder</strong>&#039;s no difficult matter:/First the kanji for flesh</em> 月, which resembles a ladder;/Then the kanji for <em>sun</em> 日 over kanji for <em>one 一;/Gall has three parts, so<strong> gall bladder is done. 胆石、たんせき, gallstone; 大胆、だいたん, bold, daring: 単独でその崖を登るのは大胆な行為です, &quot;To climb that cliff alone is a daring act.&quot; 彼はそれをする大胆さがなかった, &quot;He did not have the boldness to do it.&quot; 落胆、らくたん, disappointment, discouragement: 彼の大勝利に相手は落胆した, &quot;His opponent was discouraged by his great victory.&quot;"
32,"The sun spans from horizon to horizon in a day.","The span of the day is the time between the sun goes up and comes down.","The sunlight spans from the floor to the ceiling.","A sun span-wich.","The sun spans the heaven and the earth.","Durata</strong> : Pensare al tempo che ci mette il sole ad arrivare dal punto più basso linea dell&#039;orizzonte (Alba) al punto più alto attraversando il cielo, cioè la linea parallela all&#039;orizzonte. <strong>Composizione</strong> : <a href="/study/kanji/0.000000E+004"The Days</em> BETWEEN <em>Two important events - birth and death - mark the SPAN of our lives.","The sun rises, the sun sets. The span of a day.","The sun</em> SPANS the two <em>horizons.","The span of one</em><em> day</em> to <em>one other."
33,"The letter &quot;U&quot; is concavely written.","Concave</strong> has a<strong> concave shape.","Stroke order: I took a step down into the cave. A park ranger threw down a line to me from the opposite top ridge, then waited. My friend went down to the lowest passage to look for me, then the ranger threw another line down to her.","Her CONCAVE 凹 pussy was fucked by my convex 凸 cock.","Concave is like a vagina.","There used to be three buildings but one concaved.","Stoke order: the top of concave</strong> is the strokes of the top of convex</em> in the opposite order, since 1)<strong> concave</strong> is the opposite of <em>convex</em> and 2) that is what makes sense visually. (This assumes that you can visualize<strong> concave and convex, of course). See my notes for <em>convex.","Concave</strong>=Concave. When you put it in a girl&#039;s<strong> concave</strong> and do a good job, she goes OUUUUUUUUU.<strong> Concave is like a vagina.","rude warning - A womens genitalia is concave! This will help remember kanji 34, a mans genitlia is convex! :).","Concave</strong> by name,<strong> concave by nature."
34,"When I get vexed, I give people the middle finger.","Convex</strong> has a<strong> convex shape.","Sex makes me convex.","Men are convex; women are complex.","Stroke order: think of questing forward, then climbing a huge vertical stroke, only to take an easy step down. (Remember the three segments of the step down are one stroke. There is no such equivalent for the step up, so you have to take it segment by segment.) The bottom is just like mouth.","My convex 凸 cock fucked her concave 凹 pussy.","Japanese Idol&#039;s make my pants convex.","A guy giving the middle finger &quot;Convex You!&quot;","Rude Tetris piece.","Vexed over its weird stroke order, CONVEX</strong> gives the middle finger to the rest of the kanji. ---- <strong>On</strong>: トツ <strong>Kun: でこ."
35,"Age 18 = olden times.","The old man with a walking stick kept talking of olden times all day long.","In olden times, gentlemen used walking sticks</em> every <em>day.","In the olden times the sun used a walking stick, cursing and swinging at planets as they whizzed by.","The number 18 on an olden times calculator.","The ON reading of this kanji is きゅう kyuu because the picture is 1+8=9 = 九 「きゅう」 Something that happened on the 18th century is olden times.","A wall</em>-like barrier prevents the <em>sun from going backwards, so he can&#039;t return to olden times.","Men with walking sticks</em> sit around all <em>day talking about OLDEN TIMES.","Olden times?!? That happened one day ago!","The 18 pictured here stands for the olden times</strong> of the 1800s. This will help you remember the order of the primitives, because the year 8100 couldn&#039;t possibly be<strong> olden times."
36,"To use an eyedropper by oneself, aim from above</em> to put a <em>drop</em> into the <em>eye.","I know this, but I am an idiot and forgot.... The way I remember this is to think of the way in which Japanese people point to themselves if they are unsure of who is being spoken to. In the west, we usually say, &quot;me?&quot; and point to ourselves (pointing to the chest), but in Japan, people say, &quot;ore/boku/atashi?&quot; and point directly at their nose, the drop between their eyes. True story.","Faced with his clone, our hero valiantly cut a mark</em> on his forehead right above his <em>eye so that his comrades could tell his true oneself from the enemy.","Eyedrops are applied by ONESELF.","In Japan, one refers to oneself by pointing to their nose: then point between the eyes!","Me, myself and eye.","Eye drops are best applied by oneself.","Oneself would find it difficult to drop</em> something in one&#039;s own <em>eye.","1 on a shelf (oneself).","When Japanese people refer to themselves (oneself), they often point at the drop</em> between their <em>eyes</em>, which is also their <em>nose."
37,"A white ray is a drop of sun.","Even a small drop (&#039;) of the sun (日) would make you see nothing but white.","It&#039;s a nice DAY for a WHITE wedding.","WHITE is a drop of sun.","A drop</em> one <em>day</em> fell from above; it was white and from a <em>dove... gross.","A drop of sun is white.","A DROP of SUNlight will turn your photographs white.","A drop</em> of the <em>sun - a sunray - includes all light of the visible spectrum and thus appears white.","しろ … ① フランスの国旗は青、白</strong>、赤です … こっき、あお、あか … The French <a href="/study/kanji/0.000000E+006"A drop of sunlight will turn your photos white."
38,"100 turned sideways. <a href="/study/kanji/sort+of+the+same+as+what+ashoksaraf+said">sort of the same as what ashoksaraf said</a>.","That dirty ceiling was painted WHITE a hundred times!","The &quot;white year&quot; (99) plus one more. 100!","Hundred is 1 0 0 written from top to bottom. 一 is connected with the two concatenated 口 because the latter would otherwise fall off.","A HUNDRED turned on its side.","Two O hung on one.","ONE DROP of SUN can travel a HUNDRED light years.","People who are a hundred</em> years old have <em>white hair.","100 has been flipped on to its side.","I&#039;ve said it a hundred times, this ceiling will not be painted white."
